Table ID,Hypothesis,Generator ID,Truth Label,Worker IDs,Labels,Majority Label,JSON
T1976,It involved the BMG label.,GW7,E,"['AISFU4P55HYEH', 'AMA18W8F60Y2J', 'A109CH3492UU42', 'A3I9XLIHPPWPN1', 'A2JPOXYZM5AJZZ']","['0001000', '0001001', '0001000', '0001000', '0001000']",0001000,"{""Origin"": ""0"", ""Genres"": ""0"", ""Years active"": ""0"", ""Labels"": ""1"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""0""}"
T1976,They created Rap rock genre,GW7,N,"['A2JPOXYZM5AJZZ', 'A109CH3492UU42', 'A3I9XLIHPPWPN1', 'AMA18W8F60Y2J', 'AISFU4P55HYEH']","['0100001', '0100000', '0100001', '0100001', '0100000']",0100001,"{""Origin"": ""0"", ""Genres"": ""1"", ""Years active"": ""0"", ""Labels"": ""0"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""1""}"
T1976,There were no members,GW7,C,"['A109CH3492UU42', 'A1NF6PELRKACS9', 'A2JPOXYZM5AJZZ', 'A3I9XLIHPPWPN1', 'AISFU4P55HYEH']","['0000001', '0000001', '0000001', '0010000', '0000001']",0000001,"{""Origin"": ""0"", ""Genres"": ""0"", ""Years active"": ""0"", ""Labels"": ""0"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""1""}"
T1976,Hollywood Undead has made music on 5 or more music labels.,GW1,E,"['A1NF6PELRKACS9', 'A2JPOXYZM5AJZZ', 'AISFU4P55HYEH', 'AMA18W8F60Y2J', 'A3I9XLIHPPWPN1']","['0001000', '0001000', '0001000', '0001000', '0001000']",0001000,"{""Origin"": ""0"", ""Genres"": ""0"", ""Years active"": ""0"", ""Labels"": ""1"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""0""}"
T1976,Hollywood Undead is more associated with nu metal than rap rock.,GW1,N,"['AISFU4P55HYEH', 'A109CH3492UU42', 'A3I9XLIHPPWPN1', 'AMA18W8F60Y2J', 'A2JPOXYZM5AJZZ']","['0100000', '0100001', '0100001', '0100001', '0100001']",0100001,"{""Origin"": ""0"", ""Genres"": ""1"", ""Years active"": ""0"", ""Labels"": ""0"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""1""}"
T1976,Hollywood Undead has been active for over 20 years.,GW1,C,"['A2JPOXYZM5AJZZ', 'AMA18W8F60Y2J', 'A3I9XLIHPPWPN1', 'A109CH3492UU42', 'AISFU4P55HYEH']","['0010000', '0010000', '0010000', '0010000', '0010000']",0010000,"{""Origin"": ""0"", ""Genres"": ""0"", ""Years active"": ""1"", ""Labels"": ""0"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""0""}"
T1976,Hollywood Undead is a band from the west coast of the USA.,GW4,E,"['A109CH3492UU42', 'A3I9XLIHPPWPN1', 'A2JPOXYZM5AJZZ', 'AISFU4P55HYEH', 'AMA18W8F60Y2J']","['1000000', '1000000', '1100000', '1000000', '1000000']",1000000,"{""Origin"": ""1"", ""Genres"": ""0"", ""Years active"": ""0"", ""Labels"": ""0"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""0""}"
T1976,The band Hollywood Undead combines rap and rock in their songs.,GW4,N,"['A3V9JFVZQ2XF4Y', 'AISFU4P55HYEH', 'A3I9XLIHPPWPN1', 'A109CH3492UU42', 'A2JPOXYZM5AJZZ']","['0100000', '0100000', '0100000', '0100000', '0100000']",0100000,"{""Origin"": ""0"", ""Genres"": ""1"", ""Years active"": ""0"", ""Labels"": ""0"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""0""}"
T1976,The band Hollywood Undead has been signed by Sony Records.,GW4,C,"['A2JPOXYZM5AJZZ', 'A3I9XLIHPPWPN1', 'AMA18W8F60Y2J', 'AISFU4P55HYEH', 'A109CH3492UU42']","['0001000', '0001000', '0001000', '0000001', '0001000']",0001000,"{""Origin"": ""0"", ""Genres"": ""0"", ""Years active"": ""0"", ""Labels"": ""1"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""0""}"
T1976,Hollywood Undead currently only produces rap rock.,GW2,N,"['A109CH3492UU42', 'AMA18W8F60Y2J', 'A3I9XLIHPPWPN1', 'AISFU4P55HYEH', 'A2JPOXYZM5AJZZ']","['0100000', '0100000', '0100000', '0100000', '0100001']",0100000,"{""Origin"": ""0"", ""Genres"": ""1"", ""Years active"": ""0"", ""Labels"": ""0"", ""Associated acts"": ""0"", ""Website"": ""0"", ""none"": ""0""}"
