ID,Tables,Rows,m1,m0,none,d01,d10,a00,a11,none_01,none_10,none_00,none_11
AISFU4P55HYEH,114,1076.0,122.0,840.0,36.0,24.0,10.0,816.0,112.0,11.0,5.0,67.0,31.0
AMA18W8F60Y2J,44,392.0,53.0,295.0,20.0,2.0,5.0,293.0,48.0,2.0,2.0,22.0,18.0
A109CH3492UU42,70,561.0,90.0,401.0,26.0,5.0,9.0,396.0,81.0,2.0,2.0,42.0,24.0
A3I9XLIHPPWPN1,120,1128.0,144.0,864.0,36.0,17.0,15.0,847.0,129.0,13.0,2.0,71.0,34.0
A2JPOXYZM5AJZZ,140,1364.0,256.0,968.0,65.0,2.0,92.0,966.0,164.0,4.0,13.0,71.0,52.0
A1NF6PELRKACS9,78,860.0,110.0,672.0,36.0,1.0,26.0,671.0,84.0,3.0,5.0,39.0,31.0
A3V9JFVZQ2XF4Y,28,239.0,36.0,175.0,10.0,5.0,0.0,170.0,36.0,0.0,1.0,18.0,9.0
A266GU3J5H4TRL,2,14.0,3.0,9.0,0.0,1.0,0.0,8.0,3.0,0.0,0.0,2.0,0.0
A2UF2FRGVW4T89,32,412.0,31.0,349.0,11.0,11.0,5.0,338.0,26.0,4.0,0.0,17.0,11.0
A1IFIK8J49WBER,48,512.0,58.0,406.0,25.0,7.0,11.0,399.0,47.0,2.0,5.0,21.0,20.0
A3LRZX8477TYYZ,18,180.0,19.0,143.0,7.0,1.0,3.0,142.0,16.0,0.0,2.0,11.0,5.0
A365SN61J4UNGR,6,82.0,9.0,67.0,2.0,1.0,2.0,66.0,7.0,2.0,0.0,2.0,2.0
