ID,Tables,Rows,m1,m0,none,d01,d10,a00,a11,none_01,none_10,none_00,none_11
AISFU4P55HYEH,114,1076.0,122.0,840.0,36.0,196.0,50.0,3164.0,438.0,56.0,29.0,256.0,115.0
AMA18W8F60Y2J,44,392.0,53.0,295.0,20.0,47.0,28.0,1133.0,184.0,11.0,22.0,85.0,58.0
A109CH3492UU42,70,561.0,90.0,401.0,26.0,54.0,41.0,1550.0,319.0,19.0,19.0,157.0,85.0
A3I9XLIHPPWPN1,120,1128.0,144.0,864.0,36.0,178.0,85.0,3278.0,491.0,79.0,24.0,257.0,120.0
A2JPOXYZM5AJZZ,140,1364.0,256.0,968.0,65.0,53.0,402.0,3819.0,622.0,31.0,82.0,269.0,178.0
A1NF6PELRKACS9,78,860.0,110.0,672.0,36.0,96.0,134.0,2592.0,306.0,25.0,38.0,143.0,106.0
A3V9JFVZQ2XF4Y,28,239.0,36.0,175.0,10.0,32.0,7.0,668.0,137.0,3.0,6.0,69.0,34.0
A266GU3J5H4TRL,2,14.0,3.0,9.0,0.0,4.0,0.0,32.0,12.0,1.0,0.0,7.0,0.0
A2UF2FRGVW4T89,32,412.0,31.0,349.0,11.0,99.0,32.0,1297.0,92.0,24.0,10.0,60.0,34.0
A1IFIK8J49WBER,48,512.0,58.0,406.0,25.0,77.0,57.0,1547.0,175.0,14.0,32.0,78.0,68.0
A3LRZX8477TYYZ,18,180.0,19.0,143.0,7.0,17.0,15.0,555.0,61.0,1.0,7.0,43.0,21.0
A365SN61J4UNGR,6,82.0,9.0,67.0,2.0,9.0,11.0,259.0,25.0,8.0,3.0,8.0,5.0
