s.no	worker_id	original_tableid	original_hypothesis	original_label	modified_tableid	modified_hypothesis	modified_label
0	IA0	T80	Channel Orange was released on the Malay label.	C	T80_mod_1	Channel Orange was released on the Malay label.	E
0	IA2	T80	Channel Orange was recorded in more than one state.	E	T80_mod_2	Channel Orange was recorded in more than one state.	C
0	IA1	T80	It would take less than an hour to play Channel Orange in its entirety.	C	T80_mod_3	It would take less than an hour to play Channel Orange in its entirety.	E
0	IA2	T80	Channel Orange is over an hour long.	E	T80_mod_4	Channel Orange is over an hour long.	C
0	IA0	T80	The album was recorded entirely in California.	C	T80_mod_5	The album was recorded entirely in California.	E
0	IA0	T81	Kate Hudson has more than one child.	E	T81_mod_1	Kate Hudson has more than one child.	C
0	IA1	T81	Kate Hudson is currently married to Chris Robinson.	C	T81_mod_2	Kate Hudson is currently married to Chris Robinson.	E
0	IA0	T81	Kate Hudson was born in the Spring of 1979.	E	T81_mod_3	Kate Hudson was born in the Spring of 1979.	C
0	IA0	T81	Kate Hudson has been active in acting for more than 25 years.	C	T81_mod_4	Kate Hudson has been active in acting for more than 25 years.	E
0	IA0	T81	Kate Hudson is a singer like her father	C	T81_mod_5	Kate Hudson is a singer like her father	E
0	IA0	T1770	Insane Clown Posse are from the Midwest region.	E	T1770_mod_1	Insane Clown Posse are from the Midwest region.	C
0	IA0	T1770	Insane Clown Posse have been active as a music group for about 20 years.	C	T1770_mod_2	Insane Clown Posse have been active as a music group for about 20 years.	E
0	IA0	T1770	Insane Clown Posse has been an active band for thirty years.	E	T1770_mod_3	Insane Clown Posse has been an active band for thirty years.	C
0	IA0	T116	The band Falling in Reverse has been playing together since the 1980s.	C	T116_mod_1	The band Falling in Reverse has been playing together since the 1980s.	E
0	IA0	T1770	JJ Boyz is a band unrelated to Insane Clown Posse.	C	T1770_mod_4	JJ Boyz is a band unrelated to Insane Clown Posse.	E
0	IA2	T117	Exile on Main St. was released more than a year after recording started.	E	T117_mod_1	Exile on Main St. was released more than a year after recording started.	C
